name	taxonomy_id	taxonomy_lvl	C10_S21_S._num	C10_S21_S._frac	C1_S12_S._num	C1_S12_S._frac	C2_S13_S._num	C2_S13_S._frac	C3_S14_S._num	C3_S14_S._frac	C4_S15_S._num	C4_S15_S._frac	C5_S16_S._num	C5_S16_S._frac	C6_S17_S._num	C6_S17_S._frac	C7_S18_S._num	C7_S18_S._frac	C9_S20_S._num	C9_S20_S._frac	Post_Cntl_S._num	Post_Cntl_S._frac	S10_S11_S._num	S10_S11_S._frac	S1_S2_S._num	S1_S2_S._frac	S2_S3_S._num	S2_S3_S._frac	S3_S4_S._num	S3_S4_S._frac	S4_S5_S._num	S4_S5_S._frac	S5_S6_S._num	S5_S6_S._frac	S6_S7_S._num	S6_S7_S._frac	S7_S8_S._num	S7_S8_S._frac	S8_S9_S._num	S8_S9_S._frac	S9_S10_S._num	S9_S10_S._frac
Hymenobacter sp. APR13	1356852	S	352	0.00002	719	0.00003	629	0.00005	596	0.00007	717	0.00007	792	0.00008	486	0.00003	803	0.00005	326	0.00001	0	0.00000	1117	0.00006	1654	0.00006	912	0.00006	1926	0.00006	743	0.00007	2696	0.00005	380	0.00005	1172	0.00009	625	0.00005	569	0.00005
Hymenobacter sp. HDW8	2714932	S	479	0.00003	472	0.00002	593	0.00005	898	0.00010	929	0.00009	895	0.00009	362	0.00002	1313	0.00009	278	0.00001	0	0.00000	956	0.00005	1021	0.00004	1048	0.00007	1138	0.00003	916	0.00008	1695	0.00003	353	0.00005	1428	0.00010	1650	0.00013	644	0.00006
Hymenobacter sp. 5516J-16	2932253	S	373	0.00002	256	0.00001	413	0.00004	678	0.00008	632	0.00006	780	0.00008	200	0.00001	759	0.00005	204	0.00001	0	0.00000	757	0.00004	2707	0.00010	915	0.00006	2486	0.00007	977	0.00009	1487	0.00003	256	0.00003	756	0.00005	502	0.00004	603	0.00005
Hymenobacter aerilatus	2932251	S	443	0.00003	618	0.00003	679	0.00006	538	0.00006	576	0.00006	487	0.00005	649	0.00004	782	0.00005	463	0.00002	0	0.00000	1004	0.00005	1098	0.00004	827	0.00006	1414	0.00004	585	0.00005	1587	0.00003	408	0.00006	1100	0.00008	765	0.00006	524	0.00005
Hymenobacter canadensis	2999067	S	451	0.00003	956	0.00005	943	0.00008	715	0.00008	862	0.00008	826	0.00009	845	0.00005	1209	0.00008	466	0.00002	0	0.00000	920	0.00005	814	0.00003	790	0.00005	1125	0.00003	631	0.00006	2321	0.00004	378	0.00005	1062	0.00008	619	0.00005	546	0.00005
Hymenobacter jejuensis	2502781	S	350	0.00002	757	0.00004	771	0.00007	481	0.00005	577	0.00006	573	0.00006	619	0.00004	768	0.00005	566	0.00002	0	0.00000	976	0.00005	976	0.00004	1040	0.00007	1343	0.00004	640	0.00006	1632	0.00003	393	0.00005	1657	0.00012	744	0.00006	739	0.00007
Hymenobacter tibetensis	497967	S	340	0.00002	532	0.00003	623	0.00005	357	0.00004	473	0.00005	529	0.00006	603	0.00004	694	0.00005	501	0.00002	0	0.00000	857	0.00005	1261	0.00005	1165	0.00008	1736	0.00005	818	0.00007	1793	0.00003	384	0.00005	897	0.00007	1157	0.00009	801	0.00007
Hymenobacter swuensis	1446467	S	355	0.00002	392	0.00002	429	0.00004	312	0.00003	382	0.00004	391	0.00004	430	0.00003	518	0.00004	378	0.00002	0	0.00000	819	0.00004	813	0.00003	504	0.00003	1029	0.00003	404	0.00004	1798	0.00003	326	0.00004	787	0.00006	620	0.00005	344	0.00003
Hymenobacter volaticus	2932254	S	305	0.00002	691	0.00003	650	0.00006	470	0.00005	607	0.00006	592	0.00006	659	0.00004	819	0.00006	422	0.00002	0	0.00000	890	0.00005	965	0.00004	1019	0.00007	1385	0.00004	664	0.00006	1639	0.00003	340	0.00005	727	0.00005	697	0.00006	648	0.00006
Hymenobacter busanensis	2607656	S	282	0.00002	578	0.00003	606	0.00005	394	0.00004	493	0.00005	451	0.00005	464	0.00003	649	0.00004	337	0.00001	0	0.00000	1056	0.00006	1358	0.00005	627	0.00004	1814	0.00005	490	0.00004	2063	0.00004	435	0.00006	911	0.00007	997	0.00008	462	0.00004
Hymenobacter qilianensis	1385715	S	293	0.00002	610	0.00003	546	0.00005	427	0.00005	482	0.00005	459	0.00005	548	0.00003	621	0.00004	392	0.00002	0	0.00000	600	0.00003	1551	0.00006	608	0.00004	2093	0.00006	462	0.00004	1467	0.00003	233	0.00003	917	0.00007	751	0.00006	401	0.00004
Hymenobacter cellulosilyticus	2932248	S	282	0.00002	600	0.00003	615	0.00005	429	0.00005	549	0.00005	543	0.00006	613	0.00004	639	0.00004	344	0.00001	0	0.00000	1040	0.00005	1173	0.00005	804	0.00005	1616	0.00005	616	0.00005	1959	0.00004	395	0.00005	976	0.00007	786	0.00006	628	0.00006
Hymenobacter sedentarius	1411621	S	271	0.00002	584	0.00003	602	0.00005	450	0.00005	535	0.00005	524	0.00005	457	0.00003	666	0.00005	360	0.00001	0	0.00000	917	0.00005	1365	0.00005	844	0.00006	1786	0.00005	510	0.00005	2509	0.00004	371	0.00005	705	0.00005	602	0.00005	551	0.00005
Hymenobacter nivis	1850093	S	272	0.00002	451	0.00002	495	0.00004	345	0.00004	365	0.00003	367	0.00004	470	0.00003	549	0.00004	317	0.00001	37	0.00000	768	0.00004	1299	0.00005	569	0.00004	1859	0.00005	382	0.00003	2360	0.00004	319	0.00004	638	0.00005	514	0.00004	378	0.00003
Hymenobacter cellulosivorans	2932249	S	266	0.00002	521	0.00003	475	0.00004	375	0.00004	491	0.00005	445	0.00005	558	0.00003	542	0.00004	318	0.00001	0	0.00000	763	0.00004	1352	0.00005	981	0.00007	1775	0.00005	698	0.00006	1972	0.00004	309	0.00004	1087	0.00008	613	0.00005	696	0.00006
Hymenobacter sediminicola	2761579	S	256	0.00002	443	0.00002	456	0.00004	302	0.00003	373	0.00004	347	0.00004	470	0.00003	523	0.00004	344	0.00001	0	0.00000	693	0.00004	1434	0.00006	900	0.00006	1911	0.00006	608	0.00005	1992	0.00004	273	0.00004	855	0.00006	810	0.00007	598	0.00005
Hymenobacter oligotrophus	2319843	S	250	0.00001	523	0.00003	602	0.00005	389	0.00004	445	0.00004	488	0.00005	450	0.00003	611	0.00004	285	0.00001	0	0.00000	876	0.00005	1092	0.00004	636	0.00004	1492	0.00004	436	0.00004	1476	0.00003	364	0.00005	864	0.00006	615	0.00005	434	0.00004
Hymenobacter monticola	1705399	S	223	0.00001	579	0.00003	481	0.00004	377	0.00004	561	0.00005	493	0.00005	462	0.00003	627	0.00004	334	0.00001	0	0.00000	935	0.00005	1684	0.00006	900	0.00006	2265	0.00007	613	0.00005	3178	0.00006	347	0.00005	1608	0.00012	865	0.00007	600	0.00005
Hymenobacter baengnokdamensis	2615203	S	246	0.00001	403	0.00002	533	0.00005	405	0.00005	407	0.00004	457	0.00005	429	0.00003	574	0.00004	263	0.00001	0	0.00000	690	0.00004	1346	0.00005	645	0.00004	1470	0.00004	483	0.00004	1304	0.00002	285	0.00004	728	0.00005	975	0.00008	431	0.00004
Hymenobacter radiodurans	2496028	S	629	0.00004	608	0.00003	572	0.00005	870	0.00010	861	0.00008	824	0.00009	270	0.00002	1380	0.00009	310	0.00001	0	0.00000	633	0.00003	1246	0.00005	887	0.00006	1255	0.00004	847	0.00008	1498	0.00003	241	0.00003	1397	0.00010	1689	0.00014	435	0.00004
Hymenobacter yonginensis	748197	S	250	0.00001	452	0.00002	473	0.00004	476	0.00005	531	0.00005	521	0.00005	592	0.00003	699	0.00005	222	0.00001	0	0.00000	563	0.00003	1024	0.00004	485	0.00003	1249	0.00004	443	0.00004	1551	0.00003	226	0.00003	781	0.00006	761	0.00006	345	0.00003
Hymenobacter sublimis	2933777	S	472	0.00003	479	0.00002	573	0.00005	724	0.00008	916	0.00009	942	0.00010	295	0.00002	1246	0.00008	273	0.00001	0	0.00000	333	0.00002	3323	0.00013	822	0.00006	3428	0.00010	889	0.00008	1617	0.00003	129	0.00002	1521	0.00011	896	0.00007	427	0.00004
Pontibacter sp. SGAir0037	2571030	S	814	0.00005	818	0.00004	898	0.00008	554	0.00006	731	0.00007	719	0.00007	977	0.00006	1054	0.00007	1219	0.00005	0	0.00000	1659	0.00009	760	0.00003	1211	0.00008	1033	0.00003	791	0.00007	1994	0.00004	612	0.00008	910	0.00007	796	0.00006	913	0.00008
Pontibacter sp. G13	3074898	S	613	0.00004	1091	0.00005	1071	0.00009	802	0.00009	806	0.00008	838	0.00009	1370	0.00008	1222	0.00008	886	0.00004	0	0.00000	1712	0.00009	733	0.00003	1223	0.00008	993	0.00003	867	0.00008	1316	0.00002	693	0.00009	1115	0.00008	1506	0.00012	895	0.00008
Pontibacter pudoricolor	2694930	S	734	0.00004	1023	0.00005	947	0.00008	680	0.00008	760	0.00007	792	0.00008	1117	0.00007	1111	0.00008	1013	0.00004	0	0.00000	1242	0.00007	1335	0.00005	980	0.00007	1799	0.00005	640	0.00006	1679	0.00003	498	0.00007	1080	0.00008	719	0.00006	714	0.00006
Pontibacter korlensis	400092	S	696	0.00004	972	0.00005	1089	0.00009	713	0.00008	831	0.00008	856	0.00009	1047	0.00006	1186	0.00008	956	0.00004	0	0.00000	1481	0.00008	1024	0.00004	820	0.00006	1460	0.00004	579	0.00005	1902	0.00003	636	0.00009	864	0.00006	906	0.00007	612	0.00005
Pontibacter actiniarum	323450	S	533	0.00003	984	0.00005	959	0.00008	641	0.00007	728	0.00007	719	0.00007	870	0.00005	1014	0.00007	663	0.00003	0	0.00000	1905	0.00010	1299	0.00005	1185	0.00008	1783	0.00005	794	0.00007	2406	0.00004	759	0.00010	1372	0.00010	1167	0.00010	777	0.00007
Pontibacter russatus	2694929	S	467	0.00003	841	0.00004	827	0.00007	660	0.00007	621	0.00006	744	0.00008	901	0.00005	956	0.00006	553	0.00002	0	0.00000	1525	0.00008	2292	0.00009	1232	0.00008	2970	0.00009	948	0.00008	4098	0.00007	633	0.00009	1268	0.00009	1295	0.00011	861	0.00008
Pontibacter akesuensis	388950	S	500	0.00003	980	0.00005	1053	0.00009	654	0.00007	827	0.00008	799	0.00008	1308	0.00008	1215	0.00008	700	0.00003	0	0.00000	1754	0.00009	928	0.00004	955	0.00007	1382	0.00004	695	0.00006	2291	0.00004	714	0.00010	1288	0.00009	1133	0.00009	663	0.00006
Pontibacter kalidii	2592049	S	497	0.00003	1002	0.00005	1171	0.00010	741	0.00008	874	0.00008	917	0.00010	1071	0.00006	1239	0.00008	700	0.00003	0	0.00000	1661	0.00009	2096	0.00008	1399	0.00010	2955	0.00009	959	0.00009	2880	0.00005	668	0.00009	1412	0.00010	1262	0.00010	953	0.00008
Rufibacter radiotolerans	1379910	S	575	0.00003	806	0.00004	782	0.00007	546	0.00006	554	0.00005	588	0.00006	1097	0.00006	833	0.00006	867	0.00003	0	0.00000	1553	0.00008	1191	0.00005	1096	0.00007	1639	0.00005	781	0.00007	2008	0.00004	580	0.00008	1255	0.00009	745	0.00006	814	0.00007
Rufibacter tibetensis	512763	S	540	0.00003	788	0.00004	719	0.00006	594	0.00007	581	0.00006	596	0.00006	971	0.00006	855	0.00006	786	0.00003	0	0.00000	1319	0.00007	649	0.00002	914	0.00006	986	0.00003	618	0.00005	1328	0.00002	531	0.00007	1086	0.00008	1072	0.00009	606	0.00005
Rufibacter sp. DG15C	1379909	S	471	0.00003	900	0.00004	1089	0.00009	652	0.00007	754	0.00007	744	0.00008	1001	0.00006	1115	0.00008	661	0.00003	0	0.00000	1322	0.00007	680	0.00003	638	0.00004	857	0.00002	463	0.00004	1596	0.00003	579	0.00008	978	0.00007	847	0.00007	515	0.00005
Adhaeribacter radiodurans	2745197	S	540	0.00003	534	0.00003	623	0.00005	361	0.00004	451	0.00004	454	0.00005	551	0.00003	564	0.00004	755	0.00003	0	0.00000	475	0.00002	453	0.00002	453	0.00003	635	0.00002	272	0.00002	1599	0.00003	168	0.00002	729	0.00005	273	0.00002	308	0.00003
Adhaeribacter swui	2086471	S	505	0.00003	573	0.00003	554	0.00005	390	0.00004	507	0.00005	434	0.00005	626	0.00004	893	0.00006	791	0.00003	0	0.00000	853	0.00004	923	0.00004	1176	0.00008	1160	0.00003	730	0.00006	1722	0.00003	358	0.00005	1496	0.00011	512	0.00004	768	0.00007
Nibribacter ruber	2698458	S	921	0.00005	889	0.00004	930	0.00008	612	0.00007	808	0.00008	674	0.00007	1148	0.00007	995	0.00007	1018	0.00004	0	0.00000	1525	0.00008	1505	0.00006	1191	0.00008	2156	0.00006	762	0.00007	2004	0.00004	651	0.00009	1078	0.00008	1074	0.00009	823	0.00007
Algoriphagus sp. NBT04N3	2705473	S	950	0.00006	796	0.00004	906	0.00008	623	0.00007	632	0.00006	637	0.00007	898	0.00005	913	0.00006	1587	0.00006	0	0.00000	1040	0.00005	731	0.00003	819	0.00006	1016	0.00003	629	0.00006	3487	0.00006	456	0.00006	744	0.00005	830	0.00007	736	0.00007
Algoriphagus sp. Y33	2772483	S	728	0.00004	724	0.00003	790	0.00007	489	0.00005	643	0.00006	614	0.00006	1013	0.00006	875	0.00006	1240	0.00005	0	0.00000	1248	0.00007	918	0.00004	787	0.00005	1235	0.00004	491	0.00004	3125	0.00006	493	0.00007	796	0.00006	707	0.00006	546	0.00005
Algoriphagus sp. NG3	3097546	S	534	0.00003	500	0.00002	467	0.00004	350	0.00004	400	0.00004	380	0.00004	548	0.00003	602	0.00004	806	0.00003	0	0.00000	638	0.00003	579	0.00002	492	0.00003	666	0.00002	278	0.00002	2751	0.00005	254	0.00003	537	0.00004	367	0.00003	307	0.00003
Algoriphagus yeomjeoni	291403	S	777	0.00005	606	0.00003	699	0.00006	395	0.00004	510	0.00005	454	0.00005	786	0.00005	733	0.00005	1320	0.00005	0	0.00000	882	0.00005	538	0.00002	606	0.00004	727	0.00002	470	0.00004	2829	0.00005	341	0.00005	721	0.00005	734	0.00006	469	0.00004
Algoriphagus machipongonensis	388413	S	680	0.00004	561	0.00003	474	0.00004	355	0.00004	445	0.00004	385	0.00004	595	0.00004	558	0.00004	1086	0.00004	0	0.00000	626	0.00003	311	0.00001	471	0.00003	410	0.00001	317	0.00003	1740	0.00003	273	0.00004	628	0.00005	461	0.00004	388	0.00003
Algoriphagus sanaruensis	1727163	S	678	0.00004	590	0.00003	601	0.00005	399	0.00004	511	0.00005	493	0.00005	758	0.00004	687	0.00005	1094	0.00004	0	0.00000	647	0.00003	166	0.00001	500	0.00003	221	0.00001	367	0.00003	2679	0.00005	283	0.00004	729	0.00005	689	0.00006	396	0.00004
Algoriphagus halophilus	226505	S	621	0.00004	499	0.00002	502	0.00004	366	0.00004	401	0.00004	411	0.00004	678	0.00004	470	0.00003	1104	0.00004	0	0.00000	695	0.00004	321	0.00001	366	0.00002	514	0.00001	240	0.00002	1658	0.00003	319	0.00004	799	0.00006	414	0.00003	246	0.00002
Algoriphagus halophytocola	2991499	S	616	0.00004	716	0.00003	653	0.00006	485	0.00005	596	0.00006	606	0.00006	972	0.00006	980	0.00007	983	0.00004	0	0.00000	1365	0.00007	981	0.00004	488	0.00003	1319	0.00004	291	0.00003	2387	0.00004	554	0.00007	805	0.00006	656	0.00005	364	0.00003
Echinicola marina	2859768	S	1190	0.00007	985	0.00005	860	0.00007	551	0.00006	674	0.00006	657	0.00007	1028	0.00006	1157	0.00008	1893	0.00008	0	0.00000	1141	0.00006	962	0.00004	936	0.00006	1305	0.00004	595	0.00005	1821	0.00003	427	0.00006	968	0.00007	1043	0.00009	630	0.00006
Echinicola sp. 20G	2781961	S	795	0.00005	516	0.00002	510	0.00004	369	0.00004	472	0.00005	384	0.00004	668	0.00004	646	0.00004	1470	0.00006	0	0.00000	696	0.00004	708	0.00003	518	0.00004	943	0.00003	361	0.00003	1067	0.00002	323	0.00004	860	0.00006	534	0.00004	391	0.00003
Echinicola strongylocentroti	1795355	S	650	0.00004	468	0.00002	482	0.00004	341	0.00004	376	0.00004	383	0.00004	510	0.00003	586	0.00004	1082	0.00004	0	0.00000	818	0.00004	890	0.00003	638	0.00004	1172	0.00003	384	0.00003	1468	0.00003	349	0.00005	635	0.00005	959	0.00008	427	0.00004
Echinicola rosea	1807691	S	790	0.00005	751	0.00004	676	0.00006	463	0.00005	550	0.00005	538	0.00006	681	0.00004	697	0.00005	1155	0.00005	0	0.00000	1093	0.00006	592	0.00002	745	0.00005	935	0.00003	515	0.00005	1745	0.00003	471	0.00006	1028	0.00007	643	0.00005	503	0.00004
Echinicola soli	2591634	S	557	0.00003	544	0.00003	534	0.00005	324	0.00004	440	0.00004	432	0.00005	736	0.00004	591	0.00004	746	0.00003	0	0.00000	910	0.00005	472	0.00002	593	0.00004	636	0.00002	403	0.00004	1237	0.00002	328	0.00004	565	0.00004	510	0.00004	367	0.00003
Echinicola vietnamensis	390884	S	754	0.00004	805	0.00004	822	0.00007	591	0.00007	675	0.00006	699	0.00007	746	0.00004	791	0.00005	1251	0.00005	0	0.00000	863	0.00005	506	0.00002	1040	0.00007	664	0.00002	659	0.00006	2004	0.00004	351	0.00005	1120	0.00008	618	0.00005	700	0.00006
Cyclobacterium marinum	104	S	1110	0.00007	685	0.00003	741	0.00006	374	0.00004	533	0.00005	551	0.00006	684	0.00004	775	0.00005	1659	0.00007	0	0.00000	1248	0.00007	971	0.00004	585	0.00004	1314	0.00004	358	0.00003	1260	0.00002	576	0.00008	769	0.00006	642	0.00005	453	0.00004
Cyclobacterium amurskyense	320787	S	723	0.00004	508	0.00002	538	0.00005	333	0.00004	457	0.00004	402	0.00004	683	0.00004	582	0.00004	1148	0.00005	0	0.00000	558	0.00003	226	0.00001	486	0.00003	291	0.00001	358	0.00003	1169	0.00002	229	0.00003	526	0.00004	355	0.00003	349	0.00003
Cyclobacterium xiamenense	1297121	S	527	0.00003	621	0.00003	591	0.00005	382	0.00004	458	0.00004	379	0.00004	638	0.00004	615	0.00004	721	0.00003	0	0.00000	587	0.00003	645	0.00002	625	0.00004	888	0.00003	424	0.00004	1179	0.00002	228	0.00003	684	0.00005	747	0.00006	483	0.00004
Belliella baltica	232259	S	1702	0.00010	705	0.00003	744	0.00006	528	0.00006	567	0.00005	560	0.00006	777	0.00005	837	0.00006	3123	0.00013	0	0.00000	842	0.00004	569	0.00002	654	0.00004	726	0.00002	391	0.00003	2197	0.00004	301	0.00004	811	0.00006	421	0.00003	471	0.00004
Aquiflexum balticum	280473	S	849	0.00005	711	0.00003	660	0.00006	451	0.00005	543	0.00005	586	0.00006	903	0.00005	897	0.00006	1487	0.00006	0	0.00000	781	0.00004	478	0.00002	641	0.00004	644	0.00002	385	0.00003	1546	0.00003	322	0.00004	626	0.00005	557	0.00005	455	0.00004
Mongoliitalea daihaiensis	2782006	S	796	0.00005	599	0.00003	637	0.00005	392	0.00004	490	0.00005	457	0.00005	676	0.00004	599	0.00004	1207	0.00005	0	0.00000	836	0.00004	1092	0.00004	530	0.00004	1382	0.00004	359	0.00003	1190	0.00002	353	0.00005	567	0.00004	543	0.00004	356	0.00003
Dyadobacter sp. NIV53	2861765	S	655	0.00004	634	0.00003	657	0.00006	434	0.00005	524	0.00005	477	0.00005	865	0.00005	788	0.00005	1159	0.00005	0	0.00000	978	0.00005	801	0.00003	676	0.00005	1084	0.00003	420	0.00004	2725	0.00005	363	0.00005	486	0.00004	634	0.00005	496	0.00004
Dyadobacter sp. 676	3088362	S	452	0.00003	576	0.00003	621	0.00005	395	0.00004	525	0.00005	543	0.00006	565	0.00003	670	0.00005	595	0.00002	0	0.00000	1035	0.00005	810	0.00003	680	0.00005	1108	0.00003	438	0.00004	2330	0.00004	381	0.00005	744	0.00005	908	0.00007	451	0.00004
Dyadobacter sp. 32	538966	S	427	0.00003	502	0.00002	514	0.00004	372	0.00004	413	0.00004	369	0.00004	673	0.00004	623	0.00004	735	0.00003	0	0.00000	564	0.00003	387	0.00001	581	0.00004	573	0.00002	361	0.00003	2449	0.00004	206	0.00003	741	0.00005	608	0.00005	383	0.00003
Dyadobacter pollutisoli	2910158	S	495	0.00003	693	0.00003	654	0.00006	419	0.00005	579	0.00006	576	0.00006	617	0.00004	773	0.00005	775	0.00003	0	0.00000	653	0.00003	418	0.00002	648	0.00004	608	0.00002	377	0.00003	7131	0.00013	245	0.00003	778	0.00006	488	0.00004	374	0.00003
Dyadobacter chenwenxiniae	2906456	S	507	0.00003	531	0.00003	523	0.00005	298	0.00003	428	0.00004	433	0.00005	568	0.00003	575	0.00004	715	0.00003	0	0.00000	688	0.00004	596	0.00002	589	0.00004	801	0.00002	337	0.00003	2499	0.00004	241	0.00003	489	0.00004	455	0.00004	377	0.00003
Dyadobacter endophyticus	1749036	S	483	0.00003	650	0.00003	642	0.00006	478	0.00005	606	0.00006	561	0.00006	727	0.00004	842	0.00006	691	0.00003	0	0.00000	912	0.00005	891	0.00003	510	0.00003	1124	0.00003	318	0.00003	2316	0.00004	364	0.00005	791	0.00006	816	0.00007	342	0.00003
Dyadobacter sandarakinus	2747268	S	465	0.00003	696	0.00003	708	0.00006	406	0.00005	525	0.00005	533	0.00006	600	0.00004	673	0.00005	643	0.00003	0	0.00000	1100	0.00006	824	0.00003	633	0.00004	1040	0.00003	429	0.00004	2350	0.00004	418	0.00006	1090	0.00008	1002	0.00008	466	0.00004
Dyadobacter chenhuakuii	2909339	S	478	0.00003	599	0.00003	564	0.00005	378	0.00004	445	0.00004	516	0.00005	808	0.00005	699	0.00005	748	0.00003	0	0.00000	662	0.00003	774	0.00003	531	0.00004	1104	0.00003	387	0.00003	16297	0.00029	254	0.00003	656	0.00005	567	0.00005	411	0.00004
Dyadobacter fanqingshengii	2906443	S	484	0.00003	496	0.00002	508	0.00004	351	0.00004	402	0.00004	350	0.00004	638	0.00004	584	0.00004	735	0.00003	0	0.00000	733	0.00004	546	0.00002	393	0.00003	828	0.00002	248	0.00002	2708	0.00005	251	0.00003	549	0.00004	440	0.00004	296	0.00003
Dyadobacter fermentans	94254	S	398	0.00002	759	0.00004	828	0.00007	566	0.00006	613	0.00006	647	0.00007	920	0.00005	840	0.00006	553	0.00002	0	0.00000	1591	0.00008	1121	0.00004	864	0.00006	1489	0.00004	540	0.00005	2425	0.00004	638	0.00009	798	0.00006	762	0.00006	637	0.00006
Runella sp. SP2	2268026	S	627	0.00004	742	0.00004	955	0.00008	531	0.00006	772	0.00007	692	0.00007	854	0.00005	1019	0.00007	1160	0.00005	0	0.00000	1772	0.00009	1026	0.00004	652	0.00004	1313	0.00004	431	0.00004	1632	0.00003	692	0.00009	1093	0.00008	786	0.00006	482	0.00004
Runella sp.	1960881	S	549	0.00003	549	0.00003	633	0.00005	384	0.00004	487	0.00005	509	0.00005	636	0.00004	725	0.00005	864	0.00003	0	0.00000	720	0.00004	424	0.00002	643	0.00004	588	0.00002	403	0.00004	1534	0.00003	275	0.00004	627	0.00005	790	0.00006	432	0.00004
Runella rosea	2259595	S	644	0.00004	652	0.00003	643	0.00006	467	0.00005	531	0.00005	553	0.00006	855	0.00005	735	0.00005	960	0.00004	0	0.00000	584	0.00003	743	0.00003	524	0.00004	942	0.00003	347	0.00003	1537	0.00003	208	0.00003	649	0.00005	464	0.00004	310	0.00003
Runella slithyformis	106	S	471	0.00003	654	0.00003	692	0.00006	416	0.00005	525	0.00005	540	0.00006	860	0.00005	832	0.00006	793	0.00003	0	0.00000	861	0.00005	1605	0.00006	742	0.00005	1791	0.00005	491	0.00004	1771	0.00003	375	0.00005	767	0.00006	734	0.00006	554	0.00005
Tellurirhabdus bombi	2907205	S	507	0.00003	607	0.00003	524	0.00005	393	0.00004	397	0.00004	410	0.00004	643	0.00004	620	0.00004	763	0.00003	0	0.00000	605	0.00003	494	0.00002	905	0.00006	652	0.00002	594	0.00005	1533	0.00003	244	0.00003	948	0.00007	693	0.00006	569	0.00005
Tellurirhabdus rosea	2674997	S	448	0.00003	864	0.00004	896	0.00008	605	0.00007	716	0.00007	833	0.00009	957	0.00006	984	0.00007	585	0.00002	0	0.00000	1422	0.00007	1529	0.00006	1301	0.00009	1991	0.00006	812	0.00007	2631	0.00005	548	0.00007	1707	0.00012	992	0.00008	901	0.00008
Larkinella sp.	2034517	S	476	0.00003	606	0.00003	592	0.00005	481	0.00005	565	0.00005	606	0.00006	464	0.00003	678	0.00005	632	0.00003	0	0.00000	728	0.00004	1377	0.00005	805	0.00005	1853	0.00005	554	0.00005	2437	0.00004	324	0.00004	1287	0.00009	615	0.00005	597	0.00005
Larkinella insperata	332158	S	349	0.00002	693	0.00003	656	0.00006	418	0.00005	580	0.00006	540	0.00006	708	0.00004	730	0.00005	608	0.00002	0	0.00000	1008	0.00005	566	0.00002	775	0.00005	799	0.00002	501	0.00004	2160	0.00004	440	0.00006	1127	0.00008	695	0.00006	554	0.00005
Fibrella aestuarina	651143	S	338	0.00002	674	0.00003	645	0.00006	487	0.00005	619	0.00006	568	0.00006	694	0.00004	794	0.00005	416	0.00002	0	0.00000	1351	0.00007	1911	0.00007	803	0.00005	2574	0.00007	562	0.00005	2040	0.00004	588	0.00008	978	0.00007	1285	0.00010	591	0.00005
Spirosoma sp. KNUC1025	2894082	S	475	0.00003	537	0.00003	487	0.00004	344	0.00004	491	0.00005	398	0.00004	700	0.00004	643	0.00004	628	0.00003	0	0.00000	899	0.00005	353	0.00001	645	0.00004	471	0.00001	428	0.00004	1272	0.00002	372	0.00005	634	0.00005	347	0.00003	433	0.00004
Spirosoma sp. KCTC 42546	2520506	S	460	0.00003	553	0.00003	556	0.00005	393	0.00004	487	0.00005	421	0.00004	722	0.00004	693	0.00005	648	0.00003	0	0.00000	1119	0.00006	432	0.00002	735	0.00005	600	0.00002	475	0.00004	1478	0.00003	494	0.00007	961	0.00007	706	0.00006	498	0.00004
Spirosoma sp. SC4-14	3128900	S	445	0.00003	600	0.00003	564	0.00005	364	0.00004	534	0.00005	522	0.00005	687	0.00004	695	0.00005	685	0.00003	0	0.00000	860	0.00005	930	0.00004	642	0.00004	1064	0.00003	394	0.00003	1521	0.00003	351	0.00005	692	0.00005	541	0.00004	450	0.00004
Spirosoma sp. KUDC1026	2745947	S	292	0.00002	489	0.00002	523	0.00005	313	0.00003	402	0.00004	409	0.00004	441	0.00003	495	0.00003	463	0.00002	0	0.00000	877	0.00005	1224	0.00005	637	0.00004	1727	0.00005	466	0.00004	1492	0.00003	302	0.00004	872	0.00006	719	0.00006	519	0.00005
Spirosoma linguale	108	S	508	0.00003	709	0.00003	709	0.00006	476	0.00005	578	0.00006	483	0.00005	748	0.00004	617	0.00004	747	0.00003	0	0.00000	812	0.00004	1292	0.00005	667	0.00005	1667	0.00005	465	0.00004	1461	0.00003	322	0.00004	753	0.00005	1002	0.00008	507	0.00005
Spirosoma foliorum	2710596	S	436	0.00003	444	0.00002	436	0.00004	337	0.00004	349	0.00003	402	0.00004	498	0.00003	508	0.00003	582	0.00002	0	0.00000	596	0.00003	581	0.00002	423	0.00003	777	0.00002	335	0.00003	1103	0.00002	233	0.00003	462	0.00003	517	0.00004	338	0.00003
Spirosoma oryzicola	2898794	S	418	0.00002	563	0.00003	504	0.00004	323	0.00004	412	0.00004	409	0.00004	398	0.00002	568	0.00004	533	0.00002	0	0.00000	966	0.00005	432	0.00002	685	0.00005	628	0.00002	392	0.00003	1248	0.00002	372	0.00005	736	0.00005	489	0.00004	397	0.00004
Spirosoma rigui	564064	S	399	0.00002	737	0.00004	666	0.00006	445	0.00005	568	0.00005	504	0.00005	680	0.00004	761	0.00005	566	0.00002	0	0.00000	852	0.00004	1136	0.00004	455	0.00003	1522	0.00004	325	0.00003	1302	0.00002	327	0.00004	990	0.00007	546	0.00004	322	0.00003
