name	taxonomy_id	taxonomy_lvl	C10_S21_C._num	C10_S21_C._frac	C1_S12_C._num	C1_S12_C._frac	C2_S13_C._num	C2_S13_C._frac	C3_S14_C._num	C3_S14_C._frac	C4_S15_C._num	C4_S15_C._frac	C5_S16_C._num	C5_S16_C._frac	C6_S17_C._num	C6_S17_C._frac	C7_S18_C._num	C7_S18_C._frac	C9_S20_C._num	C9_S20_C._frac	Post_Cntl_C._num	Post_Cntl_C._frac	S10_S11_C._num	S10_S11_C._frac	S1_S2_C._num	S1_S2_C._frac	S2_S3_C._num	S2_S3_C._frac	S3_S4_C._num	S3_S4_C._frac	S4_S5_C._num	S4_S5_C._frac	S5_S6_C._num	S5_S6_C._frac	S6_S7_C._num	S6_S7_C._frac	S7_S8_C._num	S7_S8_C._frac	S8_S9_C._num	S8_S9_C._frac	S9_S10_C._num	S9_S10_C._frac
Ellioviricetes	2497576	C	92	0.00001	124	0.00001	106	0.00001	60	0.00001	77	0.00001	97	0.00001	88	0.00001	113	0.00001	121	0.00000	51	0.00000	165	0.00001	204	0.00001	122	0.00001	328	0.00001	67	0.00001	155	0.00000	64	0.00001	117	0.00001	67	0.00001	91	0.00001
Monjiviricetes	2497574	C	45	0.00000	100	0.00000	72	0.00001	74	0.00001	65	0.00001	69	0.00001	113	0.00001	86	0.00001	80	0.00000	0	0.00000	124	0.00001	70	0.00000	52	0.00000	103	0.00000	36	0.00000	102	0.00000	71	0.00001	46	0.00000	45	0.00000	53	0.00000
Pisoniviricetes	2732506	C	92	0.00001	107	0.00001	87	0.00001	42	0.00000	69	0.00001	57	0.00001	83	0.00000	98	0.00001	109	0.00000	0	0.00000	151	0.00001	93	0.00000	79	0.00001	125	0.00000	48	0.00000	176	0.00000	46	0.00001	96	0.00001	62	0.00001	47	0.00000
Stelpaviricetes	2732507	C	17	0.00000	11	0.00000	14	0.00000	0	0.00000	11	0.00000	20	0.00000	15	0.00000	15	0.00000	10	0.00000	0	0.00000	10	0.00000	36	0.00000	14	0.00000	39	0.00000	0	0.00000	25	0.00000	0	0.00000	17	0.00000	17	0.00000	10	0.00000
Duplopiviricetes	2732505	C	10	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	13	0.00000	0	0.00000	22	0.00000	11	0.00000	0	0.00000
Alsuviricetes	2732461	C	89	0.00001	38	0.00000	50	0.00000	31	0.00000	29	0.00000	40	0.00000	38	0.00000	47	0.00000	96	0.00000	0	0.00000	48	0.00000	75	0.00000	26	0.00000	101	0.00000	12	0.00000	67	0.00000	23	0.00000	27	0.00000	35	0.00000	29	0.00000
Resentoviricetes	2732459	C	19	0.00000	40	0.00000	33	0.00000	17	0.00000	26	0.00000	12	0.00000	27	0.00000	40	0.00000	27	0.00000	0	0.00000	42	0.00000	42	0.00000	54	0.00000	48	0.00000	34	0.00000	21	0.00000	20	0.00000	129	0.00001	80	0.00001	26	0.00000
Chrymotiviricetes	2732458	C	28	0.00000	25	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	29	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	135	0.00000	0	0.00000	30	0.00000	16	0.00000	12	0.00000	32	0.00000	0	0.00000
Leviviricetes	2842243	C	23	0.00000	19	0.00000	13	0.00000	0	0.00000	17	0.00000	23	0.00000	13	0.00000	29	0.00000	33	0.00000	0	0.00000	25	0.00000	32	0.00000	16	0.00000	48	0.00000	19	0.00000	74	0.00000	0	0.00000	13	0.00000	0	0.00000	15	0.00000
Revtraviricetes	2732514	C	229	0.00001	24	0.00000	229	0.00002	25	0.00000	0	0.00000	230	0.00002	17	0.00000	391	0.00003	24	0.00000	0	0.00000	47	0.00000	213	0.00001	17	0.00000	48	0.00000	11	0.00000	33	0.00000	28	0.00000	24	0.00000	22	0.00000	166	0.00001
Faserviricetes	2732411	C	94	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	146	0.00001	0	0.00000	0	0.00000	33	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Repensiviricetes	2732424	C	27	0.00000	22	0.00000	19	0.00000	20	0.00000	15	0.00000	17	0.00000	14	0.00000	28	0.00000	38	0.00000	0	0.00000	37	0.00000	87	0.00000	34	0.00000	141	0.00000	18	0.00000	53	0.00000	13	0.00000	11	0.00000	37	0.00000	31	0.00000
Arfiviricetes	2732423	C	17	0.00000	30	0.00000	21	0.00000	25	0.00000	29	0.00000	16	0.00000	45	0.00000	34	0.00000	21	0.00000	0	0.00000	23	0.00000	0	0.00000	19	0.00000	17	0.00000	10	0.00000	69	0.00000	0	0.00000	23	0.00000	0	0.00000	0	0.00000
Quintoviricetes	2732422	C	22	0.00000	20	0.00000	19	0.00000	0	0.00000	15	0.00000	22	0.00000	0	0.00000	28	0.00000	33	0.00000	0	0.00000	24	0.00000	0	0.00000	32	0.00000	13	0.00000	21	0.00000	21	0.00000	0	0.00000	16	0.00000	0	0.00000	17	0.00000
Papovaviricetes	2732421	C	17	0.00000	13	0.00000	29	0.00000	25	0.00000	15	0.00000	26	0.00000	19	0.00000	23	0.00000	10	0.00000	0	0.00000	27	0.00000	15	0.00000	22	0.00000	15	0.00000	13	0.00000	46	0.00000	14	0.00000	27	0.00000	43	0.00000	20	0.00000
Tokiviricetes	2841637	C	33	0.00000	20	0.00000	52	0.00000	28	0.00000	27	0.00000	39	0.00000	43	0.00000	54	0.00000	30	0.00000	0	0.00000	43	0.00000	99	0.00000	98	0.00001	142	0.00000	57	0.00001	44	0.00000	13	0.00000	75	0.00001	22	0.00000	65	0.00001
Laserviricetes	2732010	C	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	10	0.00000	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Flasuviricetes	2732462	C	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Howeltoviricetes	2732499	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00000	0	0.00000	88	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00000	0	0.00000
Malgrandaviricetes	2732413	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Belvinaviricetes	3412608	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Maveriviricetes	2732528	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	66	0.00000	0	0.00000	14	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Insthoviricetes	2497577	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000
