name	taxonomy_id	taxonomy_lvl	C10_S21_F._num	C10_S21_F._frac	C1_S12_F._num	C1_S12_F._frac	C2_S13_F._num	C2_S13_F._frac	C3_S14_F._num	C3_S14_F._frac	C4_S15_F._num	C4_S15_F._frac	C5_S16_F._num	C5_S16_F._frac	C6_S17_F._num	C6_S17_F._frac	C7_S18_F._num	C7_S18_F._frac	C9_S20_F._num	C9_S20_F._frac	Post_Cntl_F._num	Post_Cntl_F._frac	S10_S11_F._num	S10_S11_F._frac	S1_S2_F._num	S1_S2_F._frac	S2_S3_F._num	S2_S3_F._frac	S3_S4_F._num	S3_S4_F._frac	S4_S5_F._num	S4_S5_F._frac	S5_S6_F._num	S5_S6_F._frac	S6_S7_F._num	S6_S7_F._frac	S7_S8_F._num	S7_S8_F._frac	S8_S9_F._num	S8_S9_F._frac	S9_S10_F._num	S9_S10_F._frac
Cellulomonadaceae	85016	F	26424	0.00155	9904	0.00048	7945	0.00068	6899	0.00077	6757	0.00065	7985	0.00083	5437	0.00032	20360	0.00137	36130	0.00145	12	0.00000	8762	0.00046	11577	0.00044	8505	0.00058	15867	0.00046	6030	0.00053	979274	0.01750	3428	0.00046	9576	0.00070	6297	0.00051	6118	0.00054
Brevibacteriaceae	85019	F	25582	0.00150	11119	0.00054	7266	0.00063	21743	0.00242	9535	0.00091	7068	0.00074	7187	0.00042	7979	0.00054	36563	0.00147	0	0.00000	9340	0.00049	9148	0.00035	7570	0.00051	12671	0.00037	7413	0.00066	61802	0.00110	3752	0.00051	9062	0.00066	6855	0.00056	5509	0.00049
Dermabacteraceae	85020	F	19885	0.00117	10474	0.00050	6742	0.00058	13895	0.00155	9705	0.00093	6490	0.00068	5866	0.00035	6657	0.00045	27089	0.00109	11	0.00000	11921	0.00063	10286	0.00040	6348	0.00043	12087	0.00035	14708	0.00130	75629	0.00135	4587	0.00062	8260	0.00060	5580	0.00045	4968	0.00044
Bogoriellaceae	145358	F	14434	0.00085	3262	0.00016	2224	0.00019	2287	0.00025	1936	0.00018	2227	0.00023	2272	0.00013	2531	0.00017	18378	0.00074	0	0.00000	2534	0.00013	3222	0.00012	2150	0.00015	4454	0.00013	1556	0.00014	51628	0.00092	950	0.00013	2826	0.00021	2180	0.00018	1494	0.00013
Promicromonosporaceae	85017	F	17398	0.00102	7755	0.00037	9002	0.00077	7705	0.00086	6685	0.00064	8515	0.00089	5057	0.00030	11670	0.00079	23291	0.00094	0	0.00000	9624	0.00051	11871	0.00046	8678	0.00059	15625	0.00045	5283	0.00047	223863	0.00400	4167	0.00056	10543	0.00077	6265	0.00051	5766	0.00051
Sanguibacteraceae	145360	F	10753	0.00063	2186	0.00011	1183	0.00010	2011	0.00022	953	0.00009	2265	0.00024	1020	0.00006	1684	0.00011	20979	0.00084	0	0.00000	2582	0.00014	1411	0.00005	1036	0.00007	1978	0.00006	1705	0.00015	115775	0.00207	505	0.00007	2824	0.00021	771	0.00006	699	0.00006
Demequinaceae	1042322	F	5080	0.00030	3075	0.00015	2602	0.00022	1123	0.00012	2101	0.00020	1347	0.00014	1901	0.00011	2633	0.00018	6930	0.00028	0	0.00000	1594	0.00008	1348	0.00005	2469	0.00017	1965	0.00006	918	0.00008	12666	0.00023	1211	0.00016	1528	0.00011	1962	0.00016	1904	0.00017
Ruaniaceae	1331736	F	3936	0.00023	1920	0.00009	1517	0.00013	1486	0.00017	1193	0.00011	1464	0.00015	1191	0.00007	1496	0.00010	5588	0.00022	0	0.00000	2011	0.00011	2585	0.00010	1598	0.00011	3560	0.00010	1233	0.00011	24795	0.00044	705	0.00009	2093	0.00015	1449	0.00012	1183	0.00011
Dermacoccaceae	145357	F	7235	0.00042	1982	0.00010	1839	0.00016	1585	0.00018	1485	0.00014	1764	0.00018	1318	0.00008	1859	0.00013	10792	0.00043	0	0.00000	2269	0.00012	1951	0.00007	1756	0.00012	2765	0.00008	1244	0.00011	74121	0.00132	892	0.00012	2234	0.00016	1647	0.00013	1262	0.00011
Jonesiaceae	85022	F	2276	0.00013	611	0.00003	219	0.00002	347	0.00004	210	0.00002	225	0.00002	283	0.00002	239	0.00002	3638	0.00015	0	0.00000	184	0.00001	240	0.00001	134	0.00001	338	0.00001	137	0.00001	711	0.00001	97	0.00001	240	0.00002	120	0.00001	120	0.00001
Kytococcaceae	2805426	F	1955	0.00011	847	0.00004	718	0.00006	699	0.00008	760	0.00007	727	0.00008	526	0.00003	805	0.00005	2527	0.00010	0	0.00000	849	0.00004	1159	0.00004	1228	0.00008	1731	0.00005	700	0.00006	9762	0.00017	384	0.00005	1235	0.00009	939	0.00008	785	0.00007
Dermatophilaceae	85018	F	1492	0.00009	990	0.00005	936	0.00008	644	0.00007	684	0.00007	720	0.00007	693	0.00004	898	0.00006	2150	0.00009	0	0.00000	1032	0.00005	1725	0.00007	879	0.00006	1975	0.00006	712	0.00006	5933	0.00011	381	0.00005	1156	0.00008	715	0.00006	587	0.00005
Beutenbergiaceae	125316	F	1855	0.00011	848	0.00004	804	0.00007	621	0.00007	738	0.00007	763	0.00008	536	0.00003	911	0.00006	2439	0.00010	0	0.00000	1049	0.00006	4178	0.00016	751	0.00005	5827	0.00017	538	0.00005	16807	0.00030	420	0.00006	882	0.00006	325	0.00003	606	0.00005
Tropherymataceae	2805591	F	56	0.00000	70	0.00000	62	0.00001	47	0.00001	74	0.00001	69	0.00001	74	0.00000	50	0.00000	68	0.00000	0	0.00000	79	0.00000	60	0.00000	79	0.00001	71	0.00000	47	0.00000	91	0.00000	44	0.00001	130	0.00001	19	0.00000	55	0.00000
Propionibacteriaceae	31957	F	226774	0.01332	34915	0.00168	20850	0.00179	21201	0.00236	17759	0.00170	19995	0.00208	16494	0.00097	23069	0.00156	242856	0.00976	38	0.00000	25685	0.00135	28184	0.00108	23445	0.00159	39247	0.00113	16062	0.00142	330031	0.00590	10219	0.00138	26811	0.00195	20284	0.00165	17350	0.00154
Nocardioidaceae	85015	F	129386	0.00760	26926	0.00130	21110	0.00182	20211	0.00225	20113	0.00192	20049	0.00209	16456	0.00097	26375	0.00178	206304	0.00829	43	0.00000	24693	0.00130	30105	0.00116	20605	0.00140	41192	0.00119	15348	0.00136	3329317	0.05950	9579	0.00129	25405	0.00184	17440	0.00142	15105	0.00134
Kribbellaceae	2726069	F	7332	0.00043	6895	0.00033	5909	0.00051	4513	0.00050	4918	0.00047	5320	0.00055	4529	0.00027	6979	0.00047	9904	0.00040	0	0.00000	7459	0.00039	8502	0.00033	6151	0.00042	11904	0.00034	4601	0.00041	101684	0.00182	2996	0.00040	7543	0.00055	5003	0.00041	4462	0.00040
Actinopolymorphaceae	2805400	F	484	0.00003	430	0.00002	388	0.00003	294	0.00003	293	0.00003	334	0.00003	249	0.00001	395	0.00003	629	0.00003	0	0.00000	316	0.00002	381	0.00001	320	0.00002	462	0.00001	239	0.00002	5308	0.00009	122	0.00002	328	0.00002	234	0.00002	261	0.00002
Streptomycetaceae	2062	F	212751	0.01249	219617	0.01058	210045	0.01807	155614	0.01732	166672	0.01593	185047	0.01926	145541	0.00859	230198	0.01555	277516	0.01115	619	0.00001	247251	0.01298	316470	0.01216	213006	0.01449	442914	0.01279	151245	0.01341	2280850	0.04076	100221	0.01349	262104	0.01903	185403	0.01508	153683	0.01365
Carbonactinosporaceae	2864377	F	334	0.00002	328	0.00002	340	0.00003	232	0.00003	236	0.00002	290	0.00003	292	0.00002	329	0.00002	467	0.00002	0	0.00000	403	0.00002	686	0.00003	366	0.00002	977	0.00003	272	0.00002	3370	0.00006	140	0.00002	363	0.00003	266	0.00002	244	0.00002
Actinomycetaceae	2049	F	77132	0.00453	56182	0.00271	34690	0.00298	26553	0.00295	28803	0.00275	33668	0.00350	27908	0.00165	31431	0.00212	116945	0.00470	29	0.00000	40956	0.00215	43504	0.00167	39709	0.00270	59679	0.00172	29145	0.00258	259032	0.00463	16222	0.00218	38513	0.00280	30483	0.00248	32426	0.00288
Pseudonocardiaceae	2070	F	48148	0.00283	48637	0.00234	39445	0.00339	28605	0.00318	30256	0.00289	35859	0.00373	26330	0.00155	40371	0.00273	60402	0.00243	56	0.00000	42352	0.00222	57214	0.00220	36604	0.00249	80389	0.00232	26546	0.00235	526971	0.00942	16675	0.00224	44094	0.00320	30661	0.00249	26811	0.00238
Micromonosporaceae	28056	F	46997	0.00276	47808	0.00230	41419	0.00356	31851	0.00354	35079	0.00335	37350	0.00389	30080	0.00177	55234	0.00373	61337	0.00247	121	0.00000	52418	0.00275	68437	0.00263	41485	0.00282	95578	0.00276	30388	0.00269	735915	0.01315	20348	0.00274	52748	0.00383	37546	0.00305	29830	0.00265
Bifidobacteriaceae	31953	F	33784	0.00198	49907	0.00240	47527	0.00409	34869	0.00388	40043	0.00383	42434	0.00442	46120	0.00272	46960	0.00317	36977	0.00149	37	0.00000	65748	0.00345	651378	0.02503	168810	0.01148	862595	0.02491	92933	0.00824	93074	0.00166	25505	0.00343	86957	0.00631	344007	0.02799	161793	0.01437
Streptosporangiaceae	2004	F	13108	0.00077	14982	0.00072	13510	0.00116	10598	0.00118	10976	0.00105	12728	0.00132	10194	0.00060	15321	0.00103	16891	0.00068	91	0.00000	16921	0.00089	20698	0.00080	13639	0.00093	29165	0.00084	9637	0.00085	154867	0.00277	6632	0.00089	17285	0.00126	12052	0.00098	9626	0.00086
Thermomonosporaceae	2012	F	7491	0.00044	8611	0.00041	7677	0.00066	5889	0.00066	6266	0.00060	7240	0.00075	5198	0.00031	8383	0.00057	9737	0.00039	81	0.00000	8891	0.00047	12343	0.00047	7276	0.00049	17260	0.00050	5261	0.00047	101514	0.00181	3555	0.00048	8649	0.00063	6135	0.00050	5129	0.00046
Nocardiopsidaceae	83676	F	5536	0.00033	10775	0.00052	5219	0.00045	4071	0.00045	3891	0.00037	4120	0.00043	3176	0.00019	4271	0.00029	6759	0.00027	0	0.00000	5064	0.00027	6499	0.00025	4035	0.00027	9041	0.00026	3081	0.00027	37132	0.00066	1957	0.00026	4887	0.00035	3742	0.00030	3012	0.00027
Geodermatophilaceae	85030	F	3655	0.00021	2833	0.00014	2542	0.00022	2067	0.00023	2174	0.00021	2243	0.00023	1737	0.00010	2863	0.00019	4945	0.00020	19	0.00000	3025	0.00016	3960	0.00015	2458	0.00017	5351	0.00015	1787	0.00016	62881	0.00112	1309	0.00018	3207	0.00023	2594	0.00021	1800	0.00016
Frankiaceae	74712	F	2506	0.00015	2802	0.00013	2526	0.00022	1874	0.00021	1910	0.00018	2356	0.00025	1846	0.00011	2773	0.00019	3359	0.00014	0	0.00000	2731	0.00014	4174	0.00016	2429	0.00017	5749	0.00017	1907	0.00017	34401	0.00061	1191	0.00016	2867	0.00021	2013	0.00016	1816	0.00016
Candidatus Nanopelagicaceae	2162846	F	1823	0.00011	2468	0.00012	2535	0.00022	1617	0.00018	1960	0.00019	1904	0.00020	2678	0.00016	2538	0.00017	2877	0.00012	0	0.00000	2511	0.00013	3038	0.00012	2310	0.00016	3564	0.00010	1585	0.00014	3014	0.00005	1033	0.00014	1961	0.00014	1544	0.00013	1636	0.00015
Nakamurellaceae	85031	F	1820	0.00011	1605	0.00008	1547	0.00013	1119	0.00012	1292	0.00012	1323	0.00014	1105	0.00007	1856	0.00013	2402	0.00010	0	0.00000	2007	0.00011	2560	0.00010	1747	0.00012	3598	0.00010	1352	0.00012	23514	0.00042	777	0.00010	2017	0.00015	1372	0.00011	1419	0.00013
Kineosporiaceae	83778	F	1662	0.00010	1340	0.00006	1229	0.00011	1020	0.00011	1008	0.00010	1160	0.00012	866	0.00005	1224	0.00008	2203	0.00009	0	0.00000	1285	0.00007	1813	0.00007	1082	0.00007	2490	0.00007	742	0.00007	27162	0.00049	481	0.00006	1471	0.00011	843	0.00007	869	0.00008
Jiangellaceae	1217100	F	1233	0.00007	1054	0.00005	883	0.00008	719	0.00008	757	0.00007	918	0.00010	682	0.00004	1049	0.00007	1512	0.00006	0	0.00000	1169	0.00006	1294	0.00005	899	0.00006	1921	0.00006	629	0.00006	14698	0.00026	477	0.00006	994	0.00007	630	0.00005	585	0.00005
Jatrophihabitantaceae	2805416	F	875	0.00005	889	0.00004	760	0.00007	581	0.00006	631	0.00006	710	0.00007	545	0.00003	814	0.00005	1218	0.00005	0	0.00000	918	0.00005	1278	0.00005	684	0.00005	1841	0.00005	478	0.00004	12442	0.00022	350	0.00005	791	0.00006	683	0.00006	457	0.00004
Glycomycetaceae	85034	F	704	0.00004	813	0.00004	727	0.00006	559	0.00006	643	0.00006	660	0.00007	664	0.00004	807	0.00005	977	0.00004	0	0.00000	907	0.00005	932	0.00004	725	0.00005	1306	0.00004	540	0.00005	4243	0.00008	331	0.00004	1038	0.00008	634	0.00005	533	0.00005
Sporichthyaceae	85033	F	798	0.00005	421	0.00002	577	0.00005	398	0.00004	489	0.00005	557	0.00006	407	0.00002	502	0.00003	940	0.00004	0	0.00000	561	0.00003	564	0.00002	621	0.00004	711	0.00002	310	0.00003	12259	0.00022	201	0.00003	603	0.00004	435	0.00004	407	0.00004
Catenulisporaceae	414877	F	527	0.00003	632	0.00003	495	0.00004	429	0.00005	460	0.00004	575	0.00006	377	0.00002	564	0.00004	631	0.00003	0	0.00000	615	0.00003	547	0.00002	808	0.00005	779	0.00002	731	0.00006	5389	0.00010	247	0.00003	612	0.00004	335	0.00003	736	0.00007
Actinopolysporaceae	622451	F	266	0.00002	221	0.00001	164	0.00001	179	0.00002	157	0.00002	174	0.00002	151	0.00001	208	0.00001	438	0.00002	0	0.00000	284	0.00001	395	0.00002	332	0.00002	544	0.00002	255	0.00002	1703	0.00003	106	0.00001	349	0.00003	173	0.00001	289	0.00003
Acidothermaceae	85032	F	154	0.00001	209	0.00001	160	0.00001	116	0.00001	121	0.00001	169	0.00002	137	0.00001	189	0.00001	222	0.00001	0	0.00000	140	0.00001	194	0.00001	277	0.00002	259	0.00001	211	0.00002	1110	0.00002	65	0.00001	210	0.00002	66	0.00001	209	0.00002
Eggerthellaceae	1643826	F	69044	0.00405	199717	0.00962	178826	0.01539	142329	0.01584	114703	0.01096	208775	0.02173	106199	0.00627	125042	0.00844	75373	0.00303	59	0.00000	103954	0.00546	100905	0.00388	170148	0.01157	135468	0.00391	132561	0.01175	683352	0.01221	39537	0.00532	90936	0.00660	54646	0.00445	130975	0.01164
Atopobiaceae	1643824	F	46830	0.00275	218213	0.01051	144658	0.01245	172958	0.01925	104289	0.00996	177519	0.01848	82845	0.00489	84649	0.00572	48282	0.00194	15	0.00000	54896	0.00288	171217	0.00658	151969	0.01034	222135	0.00641	106467	0.00944	233393	0.00417	20479	0.00276	100463	0.00730	257333	0.02094	94361	0.00838
Coriobacteriaceae	84107	F	13762	0.00081	56493	0.00272	43802	0.00377	42930	0.00478	32774	0.00313	48043	0.00500	28421	0.00168	29166	0.00197	15111	0.00061	0	0.00000	27319	0.00143	39598	0.00152	32898	0.00224	54491	0.00157	24057	0.00213	76451	0.00137	10738	0.00145	33004	0.00240	22958	0.00187	22817	0.00203
Kribbibacteriaceae	3153719	F	1600	0.00009	6477	0.00031	4698	0.00040	5109	0.00057	3508	0.00034	5449	0.00057	2797	0.00017	2783	0.00019	1693	0.00007	0	0.00000	2420	0.00013	4188	0.00016	3293	0.00022	5917	0.00017	2364	0.00021	6805	0.00012	886	0.00012	3195	0.00023	2174	0.00018	2252	0.00020
Iamiaceae	633392	F	5115	0.00030	3118	0.00015	2701	0.00023	2318	0.00026	2350	0.00022	2458	0.00026	2127	0.00013	4129	0.00028	6619	0.00027	0	0.00000	3369	0.00018	3927	0.00015	2674	0.00018	5269	0.00015	2058	0.00018	353929	0.00633	1269	0.00017	3415	0.00025	2419	0.00020	1918	0.00017
Candidatus Poriferisodalaceae	2983189	F	1408	0.00008	2311	0.00011	2083	0.00018	1534	0.00017	1689	0.00016	1891	0.00020	1670	0.00010	2191	0.00015	1719	0.00007	0	0.00000	2619	0.00014	3602	0.00014	1961	0.00013	5110	0.00015	1475	0.00013	19623	0.00035	952	0.00013	2571	0.00019	1616	0.00013	1405	0.00012
Candidatus Hopanoidivoransaceae	2983183	F	797	0.00005	1456	0.00007	1364	0.00012	991	0.00011	1134	0.00011	1207	0.00013	917	0.00005	1348	0.00009	1074	0.00004	0	0.00000	1650	0.00009	2303	0.00009	1250	0.00009	3187	0.00009	938	0.00008	13022	0.00023	628	0.00008	2104	0.00015	1210	0.00010	901	0.00008
Ilumatobacteraceae	2448023	F	723	0.00004	753	0.00004	648	0.00006	536	0.00006	525	0.00005	607	0.00006	469	0.00003	839	0.00006	902	0.00004	0	0.00000	633	0.00003	1411	0.00005	666	0.00005	2001	0.00006	410	0.00004	32875	0.00059	257	0.00003	610	0.00004	520	0.00004	481	0.00004
Salinilacustritrichaceae	3436874	F	426	0.00003	447	0.00002	375	0.00003	339	0.00004	337	0.00003	304	0.00003	296	0.00002	501	0.00003	546	0.00002	0	0.00000	586	0.00003	654	0.00003	300	0.00002	940	0.00003	224	0.00002	14337	0.00026	205	0.00003	419	0.00003	397	0.00003	213	0.00002
Acidimicrobiaceae	84994	F	91	0.00001	194	0.00001	130	0.00001	113	0.00001	127	0.00001	142	0.00001	124	0.00001	152	0.00001	98	0.00000	0	0.00000	193	0.00001	160	0.00001	101	0.00001	231	0.00001	71	0.00001	1106	0.00002	102	0.00001	204	0.00001	117	0.00001	86	0.00001
Candidatus Spongiisociaceae	2983162	F	133	0.00001	246	0.00001	264	0.00002	192	0.00002	167	0.00002	231	0.00002	226	0.00001	217	0.00001	113	0.00000	0	0.00000	241	0.00001	260	0.00001	250	0.00002	303	0.00001	188	0.00002	1222	0.00002	104	0.00001	343	0.00002	223	0.00002	213	0.00002
Baekduiaceae	2600303	F	1060	0.00006	1667	0.00008	1429	0.00012	1078	0.00012	1074	0.00010	1335	0.00014	816	0.00005	1847	0.00012	1235	0.00005	0	0.00000	1583	0.00008	2692	0.00010	1303	0.00009	3307	0.00010	929	0.00008	37033	0.00066	570	0.00008	1416	0.00010	1191	0.00010	950	0.00008
Conexibacteraceae	320583	F	1035	0.00006	1875	0.00009	1572	0.00014	1197	0.00013	1289	0.00012	1441	0.00015	1114	0.00007	2107	0.00014	1336	0.00005	0	0.00000	1597	0.00008	2219	0.00009	1460	0.00010	3079	0.00009	1132	0.00010	34496	0.00062	595	0.00008	1734	0.00013	1201	0.00010	1147	0.00010
Paraconexibacteraceae	2758916	F	641	0.00004	911	0.00004	773	0.00007	707	0.00008	632	0.00006	823	0.00009	589	0.00003	1048	0.00007	759	0.00003	0	0.00000	896	0.00005	1001	0.00004	763	0.00005	1359	0.00004	550	0.00005	18726	0.00033	344	0.00005	914	0.00007	544	0.00004	584	0.00005
Capillimicrobiaceae	2976758	F	408	0.00002	613	0.00003	526	0.00005	409	0.00005	403	0.00004	567	0.00006	283	0.00002	757	0.00005	493	0.00002	0	0.00000	438	0.00002	630	0.00002	433	0.00003	930	0.00003	335	0.00003	20391	0.00036	198	0.00003	519	0.00004	310	0.00003	297	0.00003
Miltoncostaeaceae	2843199	F	461	0.00003	837	0.00004	735	0.00006	576	0.00006	578	0.00006	661	0.00007	554	0.00003	885	0.00006	582	0.00002	0	0.00000	949	0.00005	1299	0.00005	866	0.00006	1790	0.00005	660	0.00006	11615	0.00021	366	0.00005	743	0.00005	569	0.00005	612	0.00005
Thermoleophilaceae	320796	F	143	0.00001	279	0.00001	303	0.00003	183	0.00002	223	0.00002	254	0.00003	140	0.00001	297	0.00002	164	0.00001	0	0.00000	282	0.00001	178	0.00001	192	0.00001	244	0.00001	154	0.00001	2374	0.00004	119	0.00002	246	0.00002	131	0.00001	170	0.00002
Rubrobacteraceae	84997	F	1099	0.00006	2685	0.00013	2555	0.00022	1768	0.00020	1997	0.00019	2257	0.00023	1781	0.00011	2503	0.00017	1336	0.00005	0	0.00000	2766	0.00015	2739	0.00011	2566	0.00017	3859	0.00011	1829	0.00016	9742	0.00017	1063	0.00014	2577	0.00019	1908	0.00016	1825	0.00016
Euzebyaceae	908622	F	326	0.00002	485	0.00002	447	0.00004	406	0.00005	423	0.00004	433	0.00005	343	0.00002	529	0.00004	420	0.00002	0	0.00000	465	0.00002	619	0.00002	441	0.00003	842	0.00002	353	0.00003	3395	0.00006	173	0.00002	483	0.00004	440	0.00004	316	0.00003
Egicoccaceae	1755824	F	255	0.00001	382	0.00002	339	0.00003	269	0.00003	278	0.00003	355	0.00004	255	0.00002	396	0.00003	326	0.00001	0	0.00000	507	0.00003	589	0.00002	497	0.00003	838	0.00002	361	0.00003	3047	0.00005	158	0.00002	443	0.00003	186	0.00002	329	0.00003
Egibacteraceae	1747769	F	234	0.00001	339	0.00002	262	0.00002	204	0.00002	226	0.00002	245	0.00003	196	0.00001	290	0.00002	228	0.00001	0	0.00000	419	0.00002	441	0.00002	333	0.00002	652	0.00002	278	0.00002	2379	0.00004	161	0.00002	384	0.00003	217	0.00002	295	0.00003
Oscillospiraceae	216572	F	506487	0.02974	1129728	0.05442	1241723	0.10684	832478	0.09263	1093965	0.10453	930030	0.09681	1072651	0.06330	1421375	0.09599	644023	0.02589	169	0.00000	1935092	0.10161	4322653	0.16612	1479801	0.10065	5923405	0.17103	1088170	0.09646	1432461	0.02560	766093	0.10314	1961110	0.14241	1505609	0.12249	1103834	0.09806
Clostridiaceae	31979	F	349563	0.02052	315710	0.01521	351744	0.03026	213076	0.02371	378497	0.03616	264134	0.02750	551506	0.03254	625571	0.04225	491693	0.01976	373	0.00001	603490	0.03169	784668	0.03016	460920	0.03135	1059304	0.03059	323512	0.02868	572401	0.01023	240780	0.03242	507405	0.03685	417249	0.03395	401814	0.03570
Aristaeellaceae	3046368	F	61960	0.00364	214466	0.01033	244264	0.02102	140428	0.01563	73806	0.00705	177011	0.01843	75834	0.00447	224106	0.01513	77462	0.00311	0	0.00000	107635	0.00565	71867	0.00276	70172	0.00477	97773	0.00282	54550	0.00484	475547	0.00850	41873	0.00564	111332	0.00808	58390	0.00475	54577	0.00485
Eubacteriales Family XII. Incertae Sedis	543313	F	1266	0.00007	6116	0.00029	6285	0.00054	6227	0.00069	5069	0.00048	7979	0.00083	7758	0.00046	9296	0.00063	1652	0.00007	0	0.00000	5327	0.00028	1584	0.00006	1879	0.00013	4517	0.00013	4441	0.00039	7515	0.00013	2996	0.00040	6092	0.00044	1287	0.00010	1524	0.00014
Clostridiales Family XVII. Incertae Sedis	539000	F	1872	0.00011	6539	0.00032	6934	0.00060	2425	0.00027	5964	0.00057	2893	0.00030	2696	0.00016	3373	0.00023	2356	0.00009	0	0.00000	8331	0.00044	9827	0.00038	8265	0.00056	13694	0.00040	2412	0.00021	10527	0.00019	3278	0.00044	7789	0.00057	8803	0.00072	6487	0.00058
Clostridiales Family XVI. Incertae Sedis	543347	F	464	0.00003	1518	0.00007	1409	0.00012	902	0.00010	1068	0.00010	1182	0.00012	2893	0.00017	1267	0.00009	552	0.00002	0	0.00000	3798	0.00020	3457	0.00013	3163	0.00022	2046	0.00006	2301	0.00020	1258	0.00002	663	0.00009	1437	0.00010	950	0.00008	2355	0.00021
Eubacteriaceae	186806	F	28373	0.00167	70522	0.00340	67143	0.00578	46549	0.00518	56295	0.00538	60693	0.00632	72621	0.00429	67342	0.00455	38038	0.00153	0	0.00000	107420	0.00564	147454	0.00567	77054	0.00524	195948	0.00566	54424	0.00482	104528	0.00187	42673	0.00574	79664	0.00578	65022	0.00529	61009	0.00542
Desulfitobacteriaceae	2937909	F	25048	0.00147	18630	0.00090	18951	0.00163	12222	0.00136	15273	0.00146	14985	0.00156	19432	0.00115	17818	0.00120	22030	0.00089	0	0.00000	25230	0.00132	29002	0.00111	19761	0.00134	38385	0.00111	13611	0.00121	23094	0.00041	9830	0.00132	22540	0.00164	15255	0.00124	14953	0.00133
Butyricicoccaceae	3085642	F	14383	0.00084	51808	0.00250	55796	0.00480	36966	0.00411	46417	0.00444	42846	0.00446	48246	0.00285	51956	0.00351	18061	0.00073	0	0.00000	85654	0.00450	125807	0.00483	71904	0.00489	172391	0.00498	51172	0.00454	53479	0.00096	34800	0.00468	81870	0.00594	76607	0.00623	55020	0.00489
Acutalibacteraceae	3082771	F	12750	0.00075	41049	0.00198	41442	0.00357	28263	0.00314	35750	0.00342	32557	0.00339	37245	0.00220	40022	0.00270	15207	0.00061	0	0.00000	59607	0.00313	80483	0.00309	46669	0.00317	111163	0.00321	34558	0.00306	49093	0.00088	23593	0.00318	63709	0.00463	45605	0.00371	35617	0.00316
Peptococcaceae	186807	F	8134	0.00048	15279	0.00074	15881	0.00137	10152	0.00113	12899	0.00123	12430	0.00129	14533	0.00086	15189	0.00103	9682	0.00039	0	0.00000	18962	0.00100	17514	0.00067	15574	0.00106	23719	0.00068	10923	0.00097	17779	0.00032	7580	0.00102	18818	0.00137	11999	0.00098	11833	0.00105
Proteinivoraceae	1491775	F	2995	0.00018	2633	0.00013	2633	0.00023	1666	0.00019	2110	0.00020	2036	0.00021	3283	0.00019	2880	0.00019	4075	0.00016	0	0.00000	3679	0.00019	4018	0.00015	2595	0.00018	5435	0.00016	1712	0.00015	2486	0.00004	1433	0.00019	2911	0.00021	2295	0.00019	2120	0.00019
Syntrophomonadaceae	68298	F	1782	0.00010	2133	0.00010	2335	0.00020	1499	0.00017	1874	0.00018	1782	0.00019	2558	0.00015	2332	0.00016	2124	0.00009	0	0.00000	3157	0.00017	2655	0.00010	2509	0.00017	3576	0.00010	1803	0.00016	2851	0.00005	1333	0.00018	2765	0.00020	1742	0.00014	2012	0.00018
Desulfallaceae	2867375	F	1365	0.00008	2524	0.00012	2666	0.00023	1875	0.00021	2263	0.00022	2145	0.00022	2769	0.00016	2792	0.00019	1568	0.00006	0	0.00000	3300	0.00017	3483	0.00013	2720	0.00018	4801	0.00014	2041	0.00018	3323	0.00006	1281	0.00017	3779	0.00027	1913	0.00016	2211	0.00020
Heliobacteriaceae	31984	F	1266	0.00007	3077	0.00015	3179	0.00027	2213	0.00025	2507	0.00024	2552	0.00027	2896	0.00017	3169	0.00021	1645	0.00007	0	0.00000	4034	0.00021	4260	0.00016	3296	0.00022	6088	0.00018	2443	0.00022	3936	0.00007	1591	0.00021	4382	0.00032	3090	0.00025	2517	0.00022
Symbiobacteriaceae	543349	F	982	0.00006	3100	0.00015	3051	0.00026	2049	0.00023	2447	0.00023	2449	0.00025	2288	0.00014	2905	0.00020	1210	0.00005	0	0.00000	3676	0.00019	5109	0.00020	2788	0.00019	7062	0.00020	2118	0.00019	7205	0.00013	1421	0.00019	3807	0.00028	2701	0.00022	2075	0.00018
Thermincolaceae	2937911	F	471	0.00003	1274	0.00006	1251	0.00011	820	0.00009	1035	0.00010	1082	0.00011	1237	0.00007	1149	0.00008	555	0.00002	0	0.00000	1400	0.00007	1507	0.00006	1275	0.00009	2009	0.00006	918	0.00008	1335	0.00002	565	0.00008	1538	0.00011	831	0.00007	1021	0.00009
Desulfotomaculaceae	2937910	F	692	0.00004	1533	0.00007	1770	0.00015	1030	0.00011	1437	0.00014	1342	0.00014	1616	0.00010	1738	0.00012	966	0.00004	0	0.00000	1896	0.00010	2721	0.00010	1822	0.00012	3298	0.00010	1351	0.00012	1972	0.00004	742	0.00010	2948	0.00021	1530	0.00012	1384	0.00012
Lachnospiraceae	186803	F	407329	0.02392	1233342	0.05942	1024379	0.08814	769220	0.08559	935730	0.08941	963227	0.10027	1420733	0.08384	984666	0.06650	582806	0.02343	156	0.00000	2379345	0.12494	3583938	0.13773	1438811	0.09786	4728859	0.13654	1011262	0.08964	1762765	0.03151	929440	0.12513	1354736	0.09837	1437518	0.11695	1116918	0.09923
